YEAR_MONTH,DECAY_COUNT
2010-01,150
2010-02,143
2010-03,266
2010-04,181
2010-05,156
2010-06,142
2010-07,168
2010-08,271
2010-09,259
2010-10,250
2010-11,217
2010-12,245
2011-01,267
2011-02,154
2011-03,210
2011-04,291
2011-05,272
2011-06,203
2011-07,192
2011-08,149
2011-09,215
2011-10,357
2011-11,425
2011-12,468
2012-01,393
2012-02,264
2012-03,335
2012-04,283
2012-05,285
2012-06,333
2012-07,327
2012-08,323
2012-09,237
2012-10,303
2012-11,357
2012-12,340
2013-01,284
2013-02,285
2013-03,276
2013-04,269
2013-05,267
2013-06,349
2013-07,383
2013-08,185
2013-09,298
2013-10,249
2013-11,334
2013-12,375
2014-01,364
2014-02,344
2014-03,396
2014-04,523
2014-05,690
2014-06,649
2014-07,322
2014-08,315
2014-09,360
2014-10,595
2014-11,523
2014-12,495
2015-01,506
2015-02,549
2015-03,455
2015-04,428
2015-05,385
2015-06,403
2015-07,330
2015-08,232
2015-09,258
2015-10,276
2015-11,230
2015-12,390
2016-01,199
2016-02,208
2016-03,272
2016-04,158
2016-05,215
2016-06,130
2016-07,228
2016-08,129
2016-09,237
2016-10,272
2016-11,148
2016-12,115
2017-01,141
2017-02,174
2017-03,165
2017-04,145
2017-05,189
2017-06,71
2017-07,87
2017-08,67
2017-09,197
2017-10,154
2017-11,152
2017-12,151
2018-01,149
2018-02,269
2018-03,324
2018-04,299
2018-05,323
2018-06,300
2018-07,196
2018-08,227
2018-09,134
2018-10,219
2018-11,286
2018-12,183
2019-01,128
2019-02,228
2019-03,353
2019-04,312
2019-05,352
2019-06,168
2019-07,216
2019-08,211
2019-09,135
2019-10,209
2019-11,204
2019-12,189
2020-01,170
2020-02,133
2020-03,208
2020-04,167
2020-05,198
2020-06,110
2020-07,196
2020-08,261
2020-09,499
2020-10,428
2020-11,390
2020-12,433
2021-01,345
2021-02,275
2021-03,314
2021-04,335
2021-05,212
2021-06,357
2021-07,356
2021-08,301
2021-09,268
2021-10,425
2021-11,408
2021-12,685
2022-01,1176
2022-02,1235
2022-03,1419
2022-04,1760
2022-05,1355
2022-06,1317
2022-07,1229
2022-08,990
2022-09,1106
2022-10,1217
2022-11,1169
2022-12,754
2023-01,884
2023-02,1126
2023-03,1286
2023-04,1295
2023-05,1022
2023-06,948
2023-07,794
2023-08,766
2023-09,775
2023-10,956
2023-11,916
2023-12,822
2024-01,875
2024-02,830
2024-03,1021
2024-04,971
2024-05,1083
2024-06,1077
2024-07,996
2024-08,1450
2024-09,1408
2024-10,1332
2024-11,1479
2024-12,2378
2025-01,2305
2025-02,2337
2025-03,1734
2025-04,1785
2025-05,1523
2025-06,1065
2025-07,1438
2025-08,1574
2025-09,1352
2025-10,209
2025-11,27
