YEAR_MONTH,DECAY_COUNT
2020-01,170
2020-02,133
2020-03,208
2020-04,167
2020-05,198
2020-06,110
2020-07,196
2020-08,261
2020-09,499
2020-10,428
2020-11,390
2020-12,433
2021-01,345
2021-02,275
2021-03,314
2021-04,335
2021-05,212
2021-06,357
2021-07,356
2021-08,301
2021-09,268
2021-10,425
2021-11,408
2021-12,685
2022-01,1176
2022-02,1235
2022-03,1419
2022-04,1760
2022-05,1355
2022-06,1317
2022-07,1229
2022-08,990
2022-09,1106
2022-10,1217
2022-11,1169
2022-12,754
2023-01,884
2023-02,1126
2023-03,1286
2023-04,1295
2023-05,1022
2023-06,948
2023-07,794
2023-08,766
2023-09,775
2023-10,956
2023-11,916
2023-12,822
2024-01,875
2024-02,830
2024-03,1021
2024-04,971
2024-05,1083
2024-06,1077
2024-07,996
2024-08,1450
2024-09,1408
2024-10,1332
2024-11,1479
2024-12,2378
2025-01,2305
2025-02,2337
2025-03,1734
2025-04,1785
2025-05,1523
2025-06,1065
2025-07,1438
2025-08,1562
2025-09,1166
2025-10,88
