NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,BSTAR,INCLINATION,MEAN_ANOMALY,ARG_OF_PERICENTER,RA_OF_ASC_NODE,TLE_LINE1,TLE_LINE2,A_KM,HP_KM,HA_KM
25544,2020-01-01 06:11:10.983264+00:00,15.49530329,0.0005055,3.4254e-05,51.6446,3.7257,90.7711,99.4171,1 25544U 98067A   20001.25776601  .00001469  00000-0  34254-4 0  9999,2 25544  51.6446  99.4171 0005055  90.7711   3.7257 15.49530329205988,6796.23603962628,414.6635423082489,421.5345369443121
25544,2020-01-01 12:23:48.583392+00:00,15.49528784,0.0005144,2.3811e-05,51.6442,7.228,91.7041,98.137,1 25544U 98067A   20001.51653453  .00000882  00000-0  23811-4 0  9992,2 25544  51.6442  98.1370 0005144  91.7041   7.2280 15.49528784206020,6796.240557207386,414.6075710647583,421.59954335001294
25544,2020-01-01 14:05:26.578752+00:00,15.49530004,0.0005337,2.9727e-05,51.644,40.6973,92.2059,97.7889,1 25544U 98067A   20001.58711318  .00001214  00000-0  29727-4 0  9996,2 25544  51.6440  97.7889 0005337  92.2059  40.6973 15.49530004206036,6796.23698992589,414.47283824436727,421.7271416074145
25544,2020-01-01 17:17:49.889184+00:00,15.49530653,0.0005339,3.1165e-05,51.6443,65.8338,92.8411,97.1279,1 25544U 98067A   20001.72071631  .00001295  00000-0  31165-4 0  9997,2 25544  51.6443  97.1279 0005339  92.8411  65.8338 15.49530653206052,6796.235092251,414.46958233524765,421.72660216675376
25544,2020-01-01 18:47:02.666400+00:00,15.49530463,0.0005179,2.7562e-05,51.6444,51.8986,92.6004,96.8194,1 25544U 98067A   20001.78266975  .00001093  00000-0  27562-4 0  9992,2 25544  51.6444  96.8194 0005179  92.6004  51.8986 15.49530463206067,6796.2356478105385,414.5788773685381,421.6184182525394
25544,2020-01-01 23:32:58.157952+00:00,15.49530464,0.0005118,2.5131e-05,51.6446,80.7221,92.1286,95.8365,1 25544U 98067A   20001.98122868  .00000956  00000-0  25131-4 0  9993,2 25544  51.6446  95.8365 0005118  92.1286  80.7221 15.49530464206095,6796.23564488654,414.62033148348837,421.57695828959277
25544,2020-01-02 05:23:19.891392+00:00,15.49532077,0.0005118,2.8009e-05,51.6446,357.9673,93.0259,94.6316,1 25544U 98067A   20002.22453578  .00001118  00000-0  28009-4 0  9994,2 25544  51.6446  94.6316 0005118  93.0259 357.9673 15.49532077206135,6796.230928482081,414.61561749288467,421.5722394712784
25544,2020-01-02 08:34:21.432000+00:00,15.49525885,0.0005118,-1.3346e-05,51.6446,17.9545,93.5145,93.9746,1 25544U 98067A   20002.35719250 -.00001204  00000-0 -13346-4 0  9996,2 25544  51.6446  93.9746 0005118  93.5145  17.9545 15.49525885206155,6796.24903390572,414.6337136501679,421.59035416127335
25544,2020-01-02 13:21:04.146336+00:00,15.4952834,0.0005246,1.7542e-06,51.645,49.1252,93.7494,92.9926,1 25544U 98067A   20002.55629799 -.00000357  00000-0  17542-5 0  9996,2 25544  51.6450  92.9926 0005246  93.7494  49.1252 15.49528340206184,6796.241855465092,414.53954698771577,421.67016394247
25544,2020-01-02 16:29:38.599584+00:00,15.49528879,0.0005242,4.5543e-06,51.645,59.9202,93.9407,92.3441,1 25544U 98067A   20002.68725231 -.00000199  00000-0  45543-5 0  9994,2 25544  51.6450  92.3441 0005242  93.9407  59.9202 15.49528879206206,6796.240279427101,414.5406902726263,421.66586858157734
25544,2020-01-02 18:00:09.107424+00:00,15.49535347,0.000498,0.00015644,51.6472,54.2126,90.4915,92.036,1 25544U 98067A   20002.75010541  .00008340  00000-0  15644-3 0  9995,2 25544  51.6472  92.0360 0004980  90.4915  54.2126 15.49535347206213,6796.221367042476,414.69984880168977,421.46888528326417
25544,2020-01-03 09:17:27.741696+00:00,15.49530987,0.0005239,1.1608e-05,51.6449,4.4207,96.1369,88.8781,1 25544U 98067A   20003.38712664  .00000197  00000-0  11608-4 0  9999,2 25544  51.6449  88.8781 0005239  96.1369   4.4207 15.49530987206314,6796.234115636089,414.5365685829074,421.6576626892702
